ARQUITETURA_ANSATZ,INPUT_EMBEDDING,DATASET,DATASET_DIVISION_INDEX,OPTIMIZER,UNSUPERVISED_METRIC,MEASURED_WIRES,MEASURE_TYPE,TRAIN_METRIC_COST,TEST_METRIC_COST,TRAIN_ACCURACY,TEST_ACCURACY,WEIGHT,BIAS,USE_BIAS,Normalized
ry,amplitude,xor_50samples_no_noise,0,SPSAOptimizer(10),silhouette,1,expval,0.6198649997398685,0.6664560362243002,0.0510204081632653,-0.0253164556962025,[0.47918502],[0.1393557],YES,YES
ry,amplitude,xor_50samples_no_noise,0,SPSAOptimizer(10),calinski harabasz,1,expval,0.0367084972008566,0.1008184953527089,0.0510204081632653,-0.0253164556962025,[0.5348127],[0.17666432],YES,YES
ry,amplitude,xor_50samples_no_noise,1,SPSAOptimizer(10),silhouette,1,expval,0.6417324745366926,0.6215049782556451,0.1034100360410313,0.0696202531645569,[0.52452594],[0.14062875],YES,YES
ry,amplitude,xor_50samples_no_noise,1,SPSAOptimizer(10),calinski harabasz,1,expval,10.0,10.0,0.0,0.0,[2.37333092],[1.9916107],YES,YES
ry,amplitude,xor_50samples_no_noise,2,SPSAOptimizer(10),silhouette,1,expval,0.6446125558929472,0.5739474315936517,0.0316205533596837,0.3526745240253853,[0.53885579],[0.13416904],YES,YES
ry,amplitude,xor_50samples_no_noise,2,SPSAOptimizer(10),calinski harabasz,1,expval,0.0419446027011474,0.1080902472485505,-0.020762447052288,0.2370572207084468,[0.31704467],[0.22382838],YES,YES
ry,amplitude,xor_50samples_no_noise,3,SPSAOptimizer(10),silhouette,1,expval,0.6674427715487057,0.565553383272311,0.0757922474169613,-0.0253164556962025,[0.52889152],[0.14293547],YES,YES
ry,amplitude,xor_50samples_no_noise,3,SPSAOptimizer(10),calinski harabasz,1,expval,0.0446561014856469,0.0699278536301879,0.0757922474169613,-0.0253164556962025,[0.56401033],[0.186714],YES,YES
ry,amplitude,xor_50samples_no_noise,4,SPSAOptimizer(10),silhouette,1,expval,0.6436625827163717,0.6069664848986814,0.0757922474169613,0.240506329113924,[0.52140951],[0.14128278],YES,YES
ry,amplitude,xor_50samples_no_noise,4,SPSAOptimizer(10),calinski harabasz,1,expval,0.0408012258037681,0.1019586784751668,0.0757922474169613,0.240506329113924,[2.97805854],[0.66175402],YES,YES
