model,metric_score,pipeline
AdaBoostRegressor,-0.0411624572312901,AdaBoostRegressor_StandardScaler_VarianceThreshold
KNeighborsRegressor,-0.0661709562439085,KNeighborsRegressor_StandardScaler_VarianceThreshold
LinearRegression,-0.0533692219655418,LinearRegression_StandardScaler_VarianceThreshold
MLPRegressor,-0.0692357092146984,MLPRegressor_StandardScaler_VarianceThreshold
SVR,-0.041211384725218,SVR_StandardScaler_VarianceThreshold
AdaBoostRegressor,-0.0431094877857121,AdaBoostRegressor_StandardScaler_RFE
KNeighborsRegressor,-0.0673371921054744,KNeighborsRegressor_StandardScaler_RFE
LinearRegression,-0.0623715896029558,LinearRegression_StandardScaler_RFE
MLPRegressor,-0.0788482258985905,MLPRegressor_StandardScaler_RFE
SVR,-0.0487787978675194,SVR_StandardScaler_RFE
AdaBoostRegressor,-0.0407868571653327,AdaBoostRegressor_StandardScaler_SelectFromModel
KNeighborsRegressor,-0.0523735804600932,KNeighborsRegressor_StandardScaler_SelectFromModel
LinearRegression,-0.0547296237972021,LinearRegression_StandardScaler_SelectFromModel
MLPRegressor,-0.077263876031932,MLPRegressor_StandardScaler_SelectFromModel
SVR,-0.0494975062028155,SVR_StandardScaler_SelectFromModel
AdaBoostRegressor,-0.0403281029235431,AdaBoostRegressor_MinMaxScaler_VarianceThreshold
KNeighborsRegressor,-0.0642813644617767,KNeighborsRegressor_MinMaxScaler_VarianceThreshold
LinearRegression,-0.0533692219655419,LinearRegression_MinMaxScaler_VarianceThreshold
MLPRegressor,-0.0572698010663778,MLPRegressor_MinMaxScaler_VarianceThreshold
SVR,-0.0434794140149696,SVR_MinMaxScaler_VarianceThreshold
AdaBoostRegressor,-0.0429114255213984,AdaBoostRegressor_MinMaxScaler_RFE
KNeighborsRegressor,-0.0689855283458742,KNeighborsRegressor_MinMaxScaler_RFE
LinearRegression,-0.0646650342691975,LinearRegression_MinMaxScaler_RFE
MLPRegressor,-0.0688790588615939,MLPRegressor_MinMaxScaler_RFE
SVR,-0.0521989074409236,SVR_MinMaxScaler_RFE
AdaBoostRegressor,-0.0423076265305741,AdaBoostRegressor_MinMaxScaler_SelectFromModel
KNeighborsRegressor,-0.0519442287156113,KNeighborsRegressor_MinMaxScaler_SelectFromModel
LinearRegression,-0.0547296237972021,LinearRegression_MinMaxScaler_SelectFromModel
MLPRegressor,-0.0712469411062988,MLPRegressor_MinMaxScaler_SelectFromModel
SVR,-0.05088475039640731,SVR_MinMaxScaler_SelectFromModel
