model,metric_score,pipeline
AdaBoostClassifier,0.2166666666666666,AdaBoostClassifier_StandardScaler_VarianceThreshold
BaggingClassifier,0.1833333333333333,BaggingClassifier_StandardScaler_VarianceThreshold
DecisionTreeClassifier,0.2,DecisionTreeClassifier_StandardScaler_VarianceThreshold
GradientBoostingClassifier,0.2166666666666666,GradientBoostingClassifier_StandardScaler_VarianceThreshold
KNeighborsClassifier,0.2666666666666666,KNeighborsClassifier_StandardScaler_VarianceThreshold
LogisticRegression,0.25,LogisticRegression_StandardScaler_VarianceThreshold
MLPClassifier,0.0833333333333333,MLPClassifier_StandardScaler_VarianceThreshold
NearestCentroid,0.0833333333333333,NearestCentroid_StandardScaler_VarianceThreshold
RandomForestClassifier,0.2333333333333333,RandomForestClassifier_StandardScaler_VarianceThreshold
SVC,0.2833333333333333,SVC_StandardScaler_VarianceThreshold
AdaBoostClassifier,0.1833333333333333,AdaBoostClassifier_StandardScaler_RFE
BaggingClassifier,0.1666666666666666,BaggingClassifier_StandardScaler_RFE
DecisionTreeClassifier,0.2,DecisionTreeClassifier_StandardScaler_RFE
GradientBoostingClassifier,0.2,GradientBoostingClassifier_StandardScaler_RFE
KNeighborsClassifier,0.2666666666666666,KNeighborsClassifier_StandardScaler_RFE
LogisticRegression,0.2,LogisticRegression_StandardScaler_RFE
MLPClassifier,0.1,MLPClassifier_StandardScaler_RFE
NearestCentroid,0.0666666666666666,NearestCentroid_StandardScaler_RFE
RandomForestClassifier,0.25,RandomForestClassifier_StandardScaler_RFE
SVC,0.3,SVC_StandardScaler_RFE
AdaBoostClassifier,0.2166666666666666,AdaBoostClassifier_StandardScaler_SelectFromModel
BaggingClassifier,0.1666666666666666,BaggingClassifier_StandardScaler_SelectFromModel
DecisionTreeClassifier,0.2,DecisionTreeClassifier_StandardScaler_SelectFromModel
GradientBoostingClassifier,0.1833333333333333,GradientBoostingClassifier_StandardScaler_SelectFromModel
KNeighborsClassifier,0.2666666666666666,KNeighborsClassifier_StandardScaler_SelectFromModel
LogisticRegression,0.1833333333333333,LogisticRegression_StandardScaler_SelectFromModel
MLPClassifier,0.05,MLPClassifier_StandardScaler_SelectFromModel
NearestCentroid,0.0666666666666666,NearestCentroid_StandardScaler_SelectFromModel
RandomForestClassifier,0.2166666666666666,RandomForestClassifier_StandardScaler_SelectFromModel
SVC,0.2,SVC_StandardScaler_SelectFromModel
AdaBoostClassifier,0.2166666666666666,AdaBoostClassifier_MinMaxScaler_VarianceThreshold
BaggingClassifier,0.1833333333333333,BaggingClassifier_MinMaxScaler_VarianceThreshold
DecisionTreeClassifier,0.2,DecisionTreeClassifier_MinMaxScaler_VarianceThreshold
GradientBoostingClassifier,0.2166666666666666,GradientBoostingClassifier_MinMaxScaler_VarianceThreshold
KNeighborsClassifier,0.2666666666666666,KNeighborsClassifier_MinMaxScaler_VarianceThreshold
LogisticRegression,0.2,LogisticRegression_MinMaxScaler_VarianceThreshold
MLPClassifier,0.1166666666666666,MLPClassifier_MinMaxScaler_VarianceThreshold
NearestCentroid,0.05,NearestCentroid_MinMaxScaler_VarianceThreshold
RandomForestClassifier,0.2333333333333333,RandomForestClassifier_MinMaxScaler_VarianceThreshold
SVC,0.1666666666666666,SVC_MinMaxScaler_VarianceThreshold
AdaBoostClassifier,0.1666666666666666,AdaBoostClassifier_MinMaxScaler_RFE
BaggingClassifier,0.1666666666666666,BaggingClassifier_MinMaxScaler_RFE
DecisionTreeClassifier,0.2,DecisionTreeClassifier_MinMaxScaler_RFE
GradientBoostingClassifier,0.2166666666666666,GradientBoostingClassifier_MinMaxScaler_RFE
KNeighborsClassifier,0.2666666666666666,KNeighborsClassifier_MinMaxScaler_RFE
LogisticRegression,0.2,LogisticRegression_MinMaxScaler_RFE
MLPClassifier,0.1333333333333333,MLPClassifier_MinMaxScaler_RFE
NearestCentroid,0.05,NearestCentroid_MinMaxScaler_RFE
RandomForestClassifier,0.2,RandomForestClassifier_MinMaxScaler_RFE
SVC,0.2,SVC_MinMaxScaler_RFE
AdaBoostClassifier,0.2166666666666666,AdaBoostClassifier_MinMaxScaler_SelectFromModel
BaggingClassifier,0.1666666666666666,BaggingClassifier_MinMaxScaler_SelectFromModel
DecisionTreeClassifier,0.2,DecisionTreeClassifier_MinMaxScaler_SelectFromModel
GradientBoostingClassifier,0.1833333333333333,GradientBoostingClassifier_MinMaxScaler_SelectFromModel
KNeighborsClassifier,0.25,KNeighborsClassifier_MinMaxScaler_SelectFromModel
LogisticRegression,0.1833333333333333,LogisticRegression_MinMaxScaler_SelectFromModel
MLPClassifier,0.0666666666666666,MLPClassifier_MinMaxScaler_SelectFromModel
NearestCentroid,0.0666666666666666,NearestCentroid_MinMaxScaler_SelectFromModel
RandomForestClassifier,0.2166666666666666,RandomForestClassifier_MinMaxScaler_SelectFromModel
SVC,0.16666666666666666,SVC_MinMaxScaler_SelectFromModel
