model,metric_score,feature_index
AdaBoostRegressor,-0.0685558368800803,0
KNeighborsRegressor,-0.0607688283005333,0
LinearRegression,-0.0845783499787831,0
MLPRegressor,-0.084136133484111,0
SVR,-0.0821711908954802,0
AdaBoostRegressor,-0.089881919379498,1
KNeighborsRegressor,-0.0825243310257798,1
LinearRegression,-0.0876509867079642,1
MLPRegressor,-0.0868340500254178,1
SVR,-0.0881753717414475,1
AdaBoostRegressor,-0.0745523342490171,2
KNeighborsRegressor,-0.088681164640996,2
LinearRegression,-0.09157029156821,2
MLPRegressor,-0.0910115491839611,2
SVR,-0.0907655626041943,2
AdaBoostRegressor,-0.0865843041805303,3
KNeighborsRegressor,-0.0879620423687902,3
LinearRegression,-0.0857766341948262,3
MLPRegressor,-0.0856484403601036,3
SVR,-0.0877334470850795,3
AdaBoostRegressor,-0.0892020286412409,4
KNeighborsRegressor,-0.1018919983910924,4
LinearRegression,-0.09157029156821,4
MLPRegressor,-0.0907869525289304,4
SVR,-0.0894284844035802,4
AdaBoostRegressor,-0.094269226252809,5
KNeighborsRegressor,-0.0970295704925885,5
LinearRegression,-0.0867975692042104,5
MLPRegressor,-0.0890910200337893,5
SVR,-0.0866649470242502,5
AdaBoostRegressor,-0.0925676289767083,6
KNeighborsRegressor,-0.1001984282577002,6
LinearRegression,-0.0875615212713534,6
MLPRegressor,-0.0898338828656855,6
SVR,-0.0897998039079755,6
AdaBoostRegressor,-0.0841108296921434,7
KNeighborsRegressor,-0.0992194111680393,7
LinearRegression,-0.0875593364455364,7
MLPRegressor,-0.0888414623375193,7
SVR,-0.0898082799791214,7
AdaBoostRegressor,-0.065927992864385,8
KNeighborsRegressor,-0.0761125558223392,8
LinearRegression,-0.0736611381115908,8
MLPRegressor,-0.0886979055831642,8
SVR,-0.076508196064063,8
AdaBoostRegressor,-0.0504526072521221,9
KNeighborsRegressor,-0.0589982680440639,9
LinearRegression,-0.0519173049980465,9
MLPRegressor,-0.0716169665504197,9
SVR,-0.0504289609406592,9
AdaBoostRegressor,-0.0691333665533848,10
KNeighborsRegressor,-0.0769893654356117,10
LinearRegression,-0.0772126595409902,10
MLPRegressor,-0.0801227834210925,10
SVR,-0.072903341707764,10
AdaBoostRegressor,-0.0616056610698912,11
KNeighborsRegressor,-0.0739466220430538,11
LinearRegression,-0.0684457158806921,11
MLPRegressor,-0.0741839969131112,11
SVR,-0.069474205799477,11
AdaBoostRegressor,-0.0675165902559982,12
KNeighborsRegressor,-0.0701139259775219,12
LinearRegression,-0.068110965234261,12
MLPRegressor,-0.0649616556501566,12
SVR,-0.0650767803424787,12
AdaBoostRegressor,-0.0453802336391429,13
KNeighborsRegressor,-0.0502715884801258,13
LinearRegression,-0.0615778468678169,13
MLPRegressor,-0.0703972291523431,13
SVR,-0.0594763092686267,13
AdaBoostRegressor,-0.0742987464500637,14
KNeighborsRegressor,-0.0776561319440408,14
LinearRegression,-0.071543564184777,14
MLPRegressor,-0.0959107328047923,14
SVR,-0.0717252291515763,14
AdaBoostRegressor,-0.0696232970304499,15
KNeighborsRegressor,-0.0865661345118754,15
LinearRegression,-0.0866726445533983,15
MLPRegressor,-0.0940698319343635,15
SVR,-0.0828650158233141,15
AdaBoostRegressor,-0.0700963996621053,16
KNeighborsRegressor,-0.0769665832866973,16
LinearRegression,-0.0726130936905918,16
MLPRegressor,-0.0956824325762088,16
SVR,-0.0716244535686667,16
AdaBoostRegressor,-0.0900733492991113,17
KNeighborsRegressor,-0.0964320178088513,17
LinearRegression,-0.09157029156821,17
MLPRegressor,-0.0921583954229224,17
SVR,-0.0898388733706619,17
AdaBoostRegressor,-0.0848143626334364,18
KNeighborsRegressor,-0.0950819794584587,18
LinearRegression,-0.09157029156821,18
MLPRegressor,-0.092066557216218,18
SVR,-0.0897591490812217,18
AdaBoostRegressor,-0.0689503550288916,19
KNeighborsRegressor,-0.0740861238359469,19
LinearRegression,-0.0733792110360819,19
MLPRegressor,-0.0972537439131088,19
SVR,-0.0702609392102772,19
AdaBoostRegressor,-0.0902301663542702,20
KNeighborsRegressor,-0.100145020194576,20
LinearRegression,-0.09157029156821,20
MLPRegressor,-0.0916794387179734,20
SVR,-0.0910033154044541,20
AdaBoostRegressor,-0.0902301663542702,21
KNeighborsRegressor,-0.100145020194576,21
LinearRegression,-0.09157029156821,21
MLPRegressor,-0.0916794387179734,21
SVR,-0.09100331540445414,21
