model,metric_score,feature_index
AdaBoostClassifier,0.7333333333333333,0
BaggingClassifier,0.7166666666666667,0
DecisionTreeClassifier,0.7,0
GradientBoostingClassifier,0.7333333333333333,0
KNeighborsClassifier,0.7,0
LogisticRegression,0.5833333333333334,0
MLPClassifier,0.5666666666666667,0
NearestCentroid,0.5833333333333334,0
RandomForestClassifier,0.7166666666666667,0
SVC,0.6166666666666667,0
AdaBoostClassifier,0.7166666666666667,1
BaggingClassifier,0.65,1
DecisionTreeClassifier,0.6833333333333333,1
GradientBoostingClassifier,0.6833333333333333,1
KNeighborsClassifier,0.6833333333333333,1
LogisticRegression,0.5833333333333334,1
MLPClassifier,0.7833333333333333,1
NearestCentroid,0.6166666666666667,1
RandomForestClassifier,0.6833333333333333,1
SVC,0.6166666666666667,1
AdaBoostClassifier,0.6833333333333333,2
BaggingClassifier,0.6833333333333333,2
DecisionTreeClassifier,0.6833333333333333,2
GradientBoostingClassifier,0.6333333333333333,2
KNeighborsClassifier,0.6166666666666667,2
LogisticRegression,0.6166666666666667,2
MLPClassifier,0.65,2
NearestCentroid,0.65,2
RandomForestClassifier,0.6833333333333333,2
SVC,0.6166666666666667,2
AdaBoostClassifier,0.65,3
BaggingClassifier,0.6166666666666667,3
DecisionTreeClassifier,0.6333333333333333,3
GradientBoostingClassifier,0.6333333333333333,3
KNeighborsClassifier,0.5666666666666667,3
LogisticRegression,0.5833333333333334,3
MLPClassifier,0.6333333333333333,3
NearestCentroid,0.5833333333333334,3
RandomForestClassifier,0.6166666666666667,3
SVC,0.5833333333333334,3
AdaBoostClassifier,0.65,4
BaggingClassifier,0.6333333333333333,4
DecisionTreeClassifier,0.65,4
GradientBoostingClassifier,0.65,4
KNeighborsClassifier,0.5333333333333333,4
LogisticRegression,0.6333333333333333,4
MLPClassifier,0.65,4
NearestCentroid,0.6,4
RandomForestClassifier,0.6333333333333333,4
SVC,0.6166666666666667,4
AdaBoostClassifier,0.6833333333333333,5
BaggingClassifier,0.6666666666666666,5
DecisionTreeClassifier,0.6833333333333333,5
GradientBoostingClassifier,0.6833333333333333,5
KNeighborsClassifier,0.6,5
LogisticRegression,0.6,5
MLPClassifier,0.5666666666666667,5
NearestCentroid,0.6166666666666667,5
RandomForestClassifier,0.6666666666666666,5
SVC,0.6166666666666667,5
AdaBoostClassifier,0.65,6
BaggingClassifier,0.65,6
DecisionTreeClassifier,0.65,6
GradientBoostingClassifier,0.6666666666666666,6
KNeighborsClassifier,0.5666666666666667,6
LogisticRegression,0.5833333333333334,6
MLPClassifier,0.7333333333333333,6
NearestCentroid,0.6166666666666667,6
RandomForestClassifier,0.65,6
