model,metric_score,feature_index
AdaBoostRegressor,-0.0645198956806302,0
KNeighborsRegressor,-0.061580593004299,0
LinearRegression,-0.0789295085780815,0
MLPRegressor,-0.0799104856980312,0
SVR,-0.0683432861089385,0
AdaBoostRegressor,-0.0791569608223518,1
KNeighborsRegressor,-0.0690058525930311,1
LinearRegression,-0.081487431544732,1
MLPRegressor,-0.0825486022442802,1
SVR,-0.0797092148702946,1
AdaBoostRegressor,-0.0509230050449569,2
KNeighborsRegressor,-0.0688450460599417,2
LinearRegression,-0.0848749141627326,2
MLPRegressor,-0.0840317437440775,2
SVR,-0.0670377302848649,2
AdaBoostRegressor,-0.0731131302185021,3
KNeighborsRegressor,-0.0681559371483708,3
LinearRegression,-0.0795870441856968,3
MLPRegressor,-0.0793421935867982,3
SVR,-0.0767020262364349,3
AdaBoostRegressor,-0.0776605289320538,4
KNeighborsRegressor,-0.0849521511307482,4
LinearRegression,-0.0848749141627326,4
MLPRegressor,-0.0840433945480653,4
SVR,-0.0825966575305892,4
AdaBoostRegressor,-0.0799873603092474,5
KNeighborsRegressor,-0.0865444668011221,5
LinearRegression,-0.0809402911270907,5
MLPRegressor,-0.0830440878413422,5
SVR,-0.0804544976062909,5
AdaBoostRegressor,-0.0809435003303508,6
KNeighborsRegressor,-0.0858246077534834,6
LinearRegression,-0.0813073639038129,6
MLPRegressor,-0.0832328463549819,6
SVR,-0.0814099775389355,6
AdaBoostRegressor,-0.0787304941512537,7
KNeighborsRegressor,-0.0916183216355229,7
LinearRegression,-0.081459853022992,7
MLPRegressor,-0.0832880521248525,7
SVR,-0.0809517624530653,7
AdaBoostRegressor,-0.0723017127973607,8
KNeighborsRegressor,-0.0761872510348364,8
LinearRegression,-0.0710646351686112,8
MLPRegressor,-0.083124902382769,8
SVR,-0.0709480009708277,8
AdaBoostRegressor,-0.0488161189311132,9
KNeighborsRegressor,-0.0522923801796227,9
LinearRegression,-0.0463043665659282,9
MLPRegressor,-0.0736320678743498,9
SVR,-0.0465011015280702,9
AdaBoostRegressor,-0.0656418203927958,10
KNeighborsRegressor,-0.068322614686073,10
LinearRegression,-0.0759188465810677,10
MLPRegressor,-0.0751124866803512,10
SVR,-0.066855299736987,10
AdaBoostRegressor,-0.0609764895868238,11
KNeighborsRegressor,-0.0718609237136388,11
LinearRegression,-0.0658585285483724,11
MLPRegressor,-0.0714936255322635,11
SVR,-0.0677739901931871,11
AdaBoostRegressor,-0.0542493436356006,12
KNeighborsRegressor,-0.0590858138811646,12
LinearRegression,-0.0616086771455121,12
MLPRegressor,-0.0589787530832794,12
SVR,-0.0536546559084654,12
AdaBoostRegressor,-0.0473614422203511,13
KNeighborsRegressor,-0.0481557239116332,13
LinearRegression,-0.053729480622196,13
MLPRegressor,-0.063392440775364,13
SVR,-0.0532758162751909,13
AdaBoostRegressor,-0.0735658225923584,14
KNeighborsRegressor,-0.0771950971735623,14
LinearRegression,-0.0665146786145471,14
MLPRegressor,-0.089237996181556,14
SVR,-0.0679284305940803,14
AdaBoostRegressor,-0.0663656173515952,15
KNeighborsRegressor,-0.0750466763982562,15
LinearRegression,-0.0806126679617499,15
MLPRegressor,-0.0873616767180109,15
SVR,-0.072533609004593,15
AdaBoostRegressor,-0.0673877318769152,16
KNeighborsRegressor,-0.0745201743721669,16
LinearRegression,-0.0659692517398135,16
MLPRegressor,-0.0890848914572316,16
SVR,-0.0641770944057894,16
AdaBoostRegressor,-0.0825050547384049,17
KNeighborsRegressor,-0.0892592183947113,17
LinearRegression,-0.0848749141627326,17
MLPRegressor,-0.0854276393736477,17
SVR,-0.0840457839613639,17
AdaBoostRegressor,-0.078391423105929,18
KNeighborsRegressor,-0.0812662541676904,18
LinearRegression,-0.0843523817558204,18
MLPRegressor,-0.0853187491106239,18
SVR,-0.0821040159084638,18
AdaBoostRegressor,-0.063026901553425,19
KNeighborsRegressor,-0.0673196670374819,19
LinearRegression,-0.064625906739722,19
MLPRegressor,-0.0908933284277056,19
SVR,-0.0619994026319314,19
AdaBoostRegressor,-0.0842429556705895,20
KNeighborsRegressor,-0.0932450879736558,20
LinearRegression,-0.0848749141627326,20
MLPRegressor,-0.0850763783038808,20
SVR,-0.0832896930716099,20
AdaBoostRegressor,-0.0842429556705895,21
KNeighborsRegressor,-0.0932450879736558,21
LinearRegression,-0.0848749141627326,21
MLPRegressor,-0.0850763783038808,21
SVR,-0.08328969307160998,21
