model,metric_score,feature_index
AdaBoostClassifier,0.1166666666666666,0
BaggingClassifier,0.0833333333333333,0
DecisionTreeClassifier,0.1666666666666666,0
GradientBoostingClassifier,0.1,0
KNeighborsClassifier,0.0666666666666666,0
LogisticRegression,0.1166666666666666,0
MLPClassifier,0.05,0
NearestCentroid,0.0666666666666666,0
RandomForestClassifier,0.1166666666666666,0
SVC,0.1166666666666666,0
AdaBoostClassifier,0.1333333333333333,1
BaggingClassifier,0.1,1
DecisionTreeClassifier,0.1166666666666666,1
GradientBoostingClassifier,0.0833333333333333,1
KNeighborsClassifier,0.0666666666666666,1
LogisticRegression,0.1166666666666666,1
MLPClassifier,0.1,1
NearestCentroid,0.0333333333333333,1
RandomForestClassifier,0.1,1
SVC,0.1333333333333333,1
AdaBoostClassifier,0.1166666666666666,2
BaggingClassifier,0.1166666666666666,2
DecisionTreeClassifier,0.1166666666666666,2
GradientBoostingClassifier,0.0666666666666666,2
KNeighborsClassifier,0.0833333333333333,2
LogisticRegression,0.1166666666666666,2
MLPClassifier,0.1,2
NearestCentroid,0.0333333333333333,2
RandomForestClassifier,0.0333333333333333,2
SVC,0.1166666666666666,2
AdaBoostClassifier,0.1166666666666666,3
BaggingClassifier,0.1,3
DecisionTreeClassifier,0.1166666666666666,3
GradientBoostingClassifier,0.1,3
KNeighborsClassifier,0.1166666666666666,3
LogisticRegression,0.1166666666666666,3
MLPClassifier,0.0666666666666666,3
NearestCentroid,0.0666666666666666,3
RandomForestClassifier,0.05,3
SVC,0.1166666666666666,3
AdaBoostClassifier,0.1166666666666666,4
BaggingClassifier,0.1166666666666666,4
DecisionTreeClassifier,0.1166666666666666,4
GradientBoostingClassifier,0.1333333333333333,4
KNeighborsClassifier,0.0833333333333333,4
LogisticRegression,0.1166666666666666,4
MLPClassifier,0.1,4
NearestCentroid,0.0333333333333333,4
RandomForestClassifier,0.1166666666666666,4
SVC,0.1333333333333333,4
AdaBoostClassifier,0.1166666666666666,5
BaggingClassifier,0.1166666666666666,5
DecisionTreeClassifier,0.1166666666666666,5
GradientBoostingClassifier,0.15,5
KNeighborsClassifier,0.15,5
LogisticRegression,0.1166666666666666,5
MLPClassifier,0.1166666666666666,5
NearestCentroid,0.0,5
RandomForestClassifier,0.0833333333333333,5
SVC,0.1166666666666666,5
AdaBoostClassifier,0.1333333333333333,6
BaggingClassifier,0.1166666666666666,6
DecisionTreeClassifier,0.1166666666666666,6
GradientBoostingClassifier,0.1,6
KNeighborsClassifier,0.1,6
LogisticRegression,0.1166666666666666,6
MLPClassifier,0.1166666666666666,6
